## 【113 學年度第 2 學期版本】
114.4.15 113 學年度第 2 學期學分學程會議通過，114.5.15 第 184 次教務會議通過

### 核心課程

| 課程屬性 | 學程科目 | 採認課程名稱 | 開課系所 | 學分數 | 備註 |
| 機電系 | 材料科學 | 機電材料 | 3 | — |
| 材光系 | 材料科學 | 材料機械性質 | 3 | — |
| 光電碩 | 材料科學 | 光電材料 | 3 | — |
| 機電碩 | 材料科學 | 複合材料力學 | 3 | — |
| 材光系 | 材料科學 | 材料物理性質 | 3 | — |
| 材光系 | 材料科學 | 材料顯微分析技術 | 3 | — |
| 機電碩 | 材料科學 | 微奈米材料 | 3 | — |
| 材光碩 | 材料科學 | 軟質材料 | 3 | — |
| 材光碩 | 材料科學 | 半導體材料測試與分析 | 3 | — |
| 材光碩 | 材料科學 | 有機半導體材料 | 3 | — |
| 材光碩 | 材料科學 | 材料變形與破壞 | 3 | — |
| 機電系 | 電子學 | 應用電子學 | 3 | — |
| 資工系 | 電子學 | 數位電子學 | 3 | — |
| 材光系 | 電子學 | 電子學（一） | 3 | — |
| 光電系 | 電子學 | 電子學（一） | 3 | — |
| 電機系 | 電子學 | 電子學（一） | 3 | — |
| 機電系 | 程式語言 | 工程電腦程式 | 3 | — |
| 光電系 | 程式語言 | 計算機程式 | 3 | — |
| 機電碩 | 程式語言 | 計算機程式與應用 | 3 | — |
| 資工系 | 程式語言 | Ｃ程式設計（一） | 3 | — |
| 資工系 | 程式語言 | 網路系統程式設計 | 3 | — |
| 資工系 | 程式語言 | 物件導向程式設計 | 3 | — |
| 資工系 | 程式語言 | 嵌入式系統程式設計 | 3 | — |
| 資工系 | 程式語言 | UNIX 系統程式 | 3 | — |
| 資工系 | 程式語言 | Python 程式設計 | 3 | — |
| 電機系 | 程式語言 | 計算機程式 | 3 | — |
| 電機系 | 半導體元件 | 半導體元件（一） | 3 | 1.每一課程科目僅採計一門課程學分 |
| 光電系 | 半導體元件 | 半導體元件導論 | 3 | — |
| 材光碩 | 半導體元件 | 半導體元件 | 3 | — |
| 材光碩 | 半導體元件 | 記憶體元件與製程技術 | 3 | — |
| 電機碩 | 半導體元件 | 固態電子元件(一) | 3 | — |
| 電機碩 | 半導體元件 | 固態電子元件(二) | 3 | — |
| 電機碩 | 半導體元件 | 固態電子元件(三) | 3 | — |
| 機電系 | 微機電系統 | 微機電系統概論 | 3 | — |
| 電機碩 | 微機電系統 | 微機電系統 | 3 | — |
| 機電系 | 微機電系統 | 微機電製程實務 | 2 | — |
| 機電系 | 流體力學 | 流體力學 | 3 | — |
| 環工碩 | 流體力學 | 環境流體力學 | 3 | — |
| 機電系 | 智慧製造技術 | 智慧製造聯網整合技術 | 3 | — |
| 機電碩 | 智慧製造技術 | 智慧製造與監測技術 | 3 | — |
| 機電碩 | 智慧製造技術 | 物聯網與大數據於智慧製造應用 | 3 | — |
| 資工碩 | 智慧製造技術 | 智慧物聯網建置與應用 | 3 | — |
| 機械碩 | 機器人與自動化應用 | 機器人控制學 | 3 | — |
| 電機碩 | 機器人與自動化應用 | 機器人學 | 3 | — |
| 電機碩 | 機器人與自動化應用 | 行動機器人 | 3 | — |
| 資工系 | 機器人與自動化應用 | 電子設計自動化及測試導論 | 3 | — |
| 材光系 | 量測原理 | 材料顯微分析技術 | 3 | — |
| 物理系 | 量測原理 | 光電導論 | 3 | — |
| 材光系 | 量測原理 | 光電科技概論 | 3 | — |
| 光電系 | 量測原理 | 光電工程導論 | 3 | — |
| 光電碩 | 量測原理 | 光電數值方法 | 3 | — |
| 環工碩 | 量測原理 | 儀器分析 | 3 | — |
| 材光碩 | 量測原理 | 電子顯微鏡 | 3 | — |
| 光電碩 | 量測原理 | 現代光學顯微術 | 3 | — |
| 材光碩 | 量測原理 | 電子顯微鏡於軟物質研究之應用 | 3 | — |
| 材光碩 | 量測原理 | X 光與電子能譜學 | 3 | — |
| 材光碩 | 量測原理 | 小角度 X 光與中子散射在軟物質材料之應用 | 3 | — |
| 博雅向度五 | 統計學 | 橘子蘋果統計學 | 3 | — |
| 跨院選修(管) | 統計學 | 統計學（一） | 3 | — |
| 應數系 | 統計學 | 應用統計方法 | 3 | — |
| 電機系 | 統計學 | 機率與統計 | 3 | — |
| 跨院選修(工) | 統計學 | 機率與統計 | 3 | — |
| 應數系 | 統計學 | 統計推論 | 3 | — |
| 海工系 | 統計學 | 機率與統計 | 3 | — |
| 機電碩 | 薄膜工程 | 薄膜製程技術 | 3 | — |
| 材光碩 | 薄膜工程 | 薄膜製程技術 | 3 | — |
| 電機碩 | 薄膜工程 | 半導體薄膜技術 | 3 | — |
| 化學系 | 無機化學 | 無機化學（一） | 4 | — |
| 化學系 | 無機化學 | 無機化學（二） | 4 | — |
| 校際選修 | 無機化學 | 無機化學（二） | 4 | — |
| 化學碩 | 無機化學 | 高等無機化學 | 3 | — |

> 核心課程〈專業模組課程〉應修學分數： 36 學分

**備註：**
1. 每一課程科目僅採計一門課程學分。

---

## 【110 學年度第 1 學期版本】
110.11.2 110 學年度第 1 學期學分學程會議通過，110.12.28 第 170 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 採認課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 機電碩 | 半導體製程設備與技術 | 半導體製程設備與技術 | 3 | 1.每一課程科目僅採計一門課程學分 |
| 材料碩 | 半導體製程 | 積體電路製程原理 | 3 | — |
| 數理學程 | 半導體製程 | 半導體製程原理與實作 | 3 | — |
| 材料碩 | 半導體製程 | 積體電路製程技術 | 4 | — |
| 機電系 | 半導體製程 | 半導體製程導論 | 3 | — |
| 機電系 | 電機機械與電路學 | 電路學 | 3 | — |
| 跨院選修(工) | 電機機械與電路學 | 電路學（一） | 3 | — |
| 跨院選修(工) | 電機機械與電路學 | 電路學（二） | 3 | — |
| 電機系 | 電機機械與電路學 | 電機機械 | 3 | — |
| 機電系 | 電機機械與電路學 | 機械設計原理（一） | 3 | — |
| 機電系 | 電機機械與電路學 | 機械設計原理（二） | 3 | — |
| 機電碩 | 機電整合與自動化應用 | 機電傳動系統 | 3 | — |
| 機電系 | 機電整合與自動化應用 | 機電整合 | 3 | — |
| 資工系 | 機電整合與自動化應用 | 電子設計自動化及測試導論 | 3 | — |
| 機電系 | 機電整合與自動化應用 | 自動控制 | 3 | — |
| 電機系 | 機電整合與自動化應用 | 電機動態與控制 | 3 | — |
| 電機系 | 機電整合與自動化應用 | 控制系統 | 3 | — |
| 電機碩 | 機電整合與自動化應用 | 數位控制 | 3 | — |
| 機電碩 | 機電整合與自動化應用 | 非線性系統及控制 | 3 | — |
| 電機系 | 機電整合與自動化應用 | 最佳控制簡介 | 3 | — |
| 電機碩 | 機電整合與自動化應用 | 交直流馬達控制 | 3 | — |
| 電機碩 | 機電整合與自動化應用 | 最佳控制 | 3 | — |
| 電機碩 | 機電整合與自動化應用 | 適應控制 | 3 | — |
| 電機碩 | 機電整合與自動化應用 | 數位控制 | 3 | — |
| 機電碩 | 機電整合與自動化應用 | 模糊邏輯與控制 | 3 | — |
| 電機電力碩 | 機電整合與自動化應用 | 最佳控制 | 3 | — |
| 資工碩 | 感測技術基礎科學 | 無線隨意與感測網路技術 | 3 | — |
| 電機碩 | 感測技術基礎科學 | 光纖感測原理 | 3 | — |
| 電機碩 | 感測技術基礎科學 | 感測器校正 | 3 | — |
| 機電系 | 感測技術基礎科學 | 感測與檢測 | 3 | — |
| 電機碩 | 感測技術基礎科學 | 感測元件 | 3 | — |
| 材料碩 | 真空技術 | 真空技術 | 3 | — |
| 物理碩 | 真空技術 | 真空與薄膜技術 | 3 | — |

> 核心課程學分數： 36 學分

### 選修課程

| 開課單位 | 課程名稱 | 採認課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 電機碩 | — | 真空製程技術專題 | 3 | — |
| 電機系 | — | 真空實務自動化專題 | 3 | — |
| 機電系 | 熱力學 | 熱力學 | 3 | — |
| 材光系 | 熱力學 | 材料熱力學 | 3 | — |
| 機電系 | 熱力學 | 中等熱力學 | 3 | — |
| 材光碩 | 熱力學 | 冶金熱力學 | 3 | — |
| 機電系 | 機構設計與加工 | 自動化機構 | 3 | — |
| 機電碩 | 機構設計與加工 | 平面機構運動學 | 3 | — |
| 機電碩 | 機構設計與加工 | 空間機構運動學 | 3 | — |
| 機電碩 | 機構設計與加工 | 創造性機構設計 | 3 | — |
| 機電碩 | 機構設計與加工 | 奈米加工學 | 3 | — |
| 機電碩 | 機構設計與加工 | 塑性加工學 | 3 | — |
| 機電系 | 機構設計與加工 | 精密機械製造 | 3 | — |
| 機電系 | 化學工程 | 工程化學 | 3 | — |
| 光電系 | 化學工程 | 普通化學 | 3 | — |
| 光電系 | 化學工程 | 應用化學 | 3 | — |
| 環工碩 | 化學工程 | 環境化學 | 3 | — |
| 材光系 | 化學工程 | 普通化學（一） | 3 | — |
| 材光系 | 化學工程 | 普通化學（二） | 3 | — |
| 機電系 | 材料科學 | 機電材料 | 3 | — |
| 材光系 | 材料科學 | 材料機械性質 | 3 | — |
| 光電碩 | 材料科學 | 光電材料 | 3 | — |
| 機電碩 | 材料科學 | 複合材料力學 | 3 | — |
| 材光系 | 材料科學 | 材料物理性質 | 3 | — |
| 材光系 | 材料科學 | 材料顯微分析技術 | 3 | — |
| 機電碩 | 材料科學 | 微奈米材料 | 3 | — |
| 材光碩 | 材料科學 | 軟質材料 | 3 | — |
| 材光碩 | 材料科學 | 半導體材料測試與分析 | 3 | — |
| 材光碩 | 材料科學 | 有機半導體材料 | 3 | — |
| 材光碩 | 材料科學 | 材料變形與破壞 | 3 | — |
| 機電系 | 電子學 | 應用電子學 | 3 | — |
| 資工系 | 電子學 | 數位電子學 | 3 | — |
| 材光系 | 電子學 | 電子學（一） | 3 | — |
| 光電系 | 電子學 | 電子學（一） | 3 | — |
| 電機系 | 電子學 | 電子學（一） | 3 | — |
| 機電系 | 程式語言 | 工程電腦程式 | 3 | — |
| 光電系 | 程式語言 | 計算機程式 | 3 | — |
| 機電碩 | 程式語言 | 計算機程式與應用 | 3 | — |
| 資工系 | 程式語言 | Ｃ程式設計（一） | 3 | — |
| 資工系 | 程式語言 | 網路系統程式設計 | 3 | — |
| 資工系 | 程式語言 | 物件導向程式設計 | 3 | — |
| 資工系 | 程式語言 | 嵌入式系統程式設計 | 3 | — |
| 資工系 | 程式語言 | UNIX 系統程式 | 3 | — |
| 資工系 | 程式語言 | Python 程式設計 | 3 | — |
| 電機系 | 程式語言 | 計算機程式 | 3 | — |
| 電機系 | 半導體元件 | 半導體元件（一） | 3 | 1.每一課程科目僅採計一門課程學分 |
| 光電系 | 半導體元件 | 半導體元件導論 | 3 | — |
| 材光碩 | 半導體元件 | 半導體元件 | 3 | — |
| 材光碩 | 半導體元件 | 記憶體元件與製程技術 | 3 | — |
| 電機碩 | 半導體元件 | 固態電子元件(一) | 3 | — |
| 電機碩 | 半導體元件 | 固態電子元件(二) | 3 | — |
| 電機碩 | 半導體元件 | 固態電子元件(三) | 3 | — |
| 機電系 | 微機電系統 | 微機電系統概論 | 3 | — |
| 電機碩 | 微機電系統 | 微機電系統 | 3 | — |
| 機電系 | 微機電系統 | 微機電製程實務 | 2 | — |
| 機電系 | 流體力學 | 流體力學 | 3 | — |
| 環工碩 | 流體力學 | 環境流體力學 | 3 | — |
| 機電系 | 智慧製造技術 | 智慧製造聯網整合技術 | 3 | — |
| 機電碩 | 智慧製造技術 | 智慧製造與監測技術 | 3 | — |
| 機電碩 | 智慧製造技術 | 物聯網與大數據於智慧製造應用 | 3 | — |
| 資工碩 | 智慧製造技術 | 智慧物聯網建置與應用 | 3 | — |
| 機械碩 | 機器人與自動化應用 | 機器人控制學 | 3 | — |
| 電機碩 | 機器人與自動化應用 | 機器人學 | 3 | — |
| 電機碩 | 機器人與自動化應用 | 行動機器人 | 3 | — |
| 資工系 | 機器人與自動化應用 | 電子設計自動化及測試導論 | 3 | — |
| 材光系 | 量測原理 | 材料顯微分析技術 | 3 | — |
| 物理系 | 量測原理 | 光電導論 | 3 | — |
| 材光系 | 量測原理 | 光電科技概論 | 3 | — |
| 光電系 | 量測原理 | 光電工程導論 | 3 | — |
| 光電碩 | 量測原理 | 光電數值方法 | 3 | — |
| 環工碩 | 量測原理 | 儀器分析 | 3 | — |
| 材光碩 | 量測原理 | 電子顯微鏡 | 3 | — |
| 光電碩 | 量測原理 | 現代光學顯微術 | 3 | — |
| 材光碩 | 量測原理 | 電子顯微鏡於軟物質研究之應用 | 3 | — |
| 材光碩 | 量測原理 | X 光與電子能譜學 | 3 | — |
| 材光碩 | 量測原理 | 小角度 X 光與中子散射在軟物質材料之應用 | 3 | — |
| 博雅向度五 | 統計學 | 橘子蘋果統計學 | 3 | — |
| 跨院選修(管) | 統計學 | 統計學（一） | 3 | — |
| 應數系 | 統計學 | 應用統計方法 | 3 | — |
| 電機系 | 統計學 | 機率與統計 | 3 | — |
| 跨院選修(工) | 統計學 | 機率與統計 | 3 | — |
| 應數系 | 統計學 | 統計推論 | 3 | — |
| 海工系 | 統計學 | 機率與統計 | 3 | — |
| 機電碩 | 薄膜工程 | 薄膜製程技術 | 3 | — |
| 材光碩 | 薄膜工程 | 薄膜製程技術 | 3 | — |
| 電機碩 | 薄膜工程 | 半導體薄膜技術 | 3 | — |
| 化學系 | 無機化學 | 無機化學（一） | 4 | — |
| 化學系 | 無機化學 | 無機化學（二） | 4 | — |
| 校際選修 | 無機化學 | 無機化學（二） | 4 | — |
| 化學碩 | 無機化學 | 高等無機化學 | 3 | — |

> 核心課程〈專業模組課程〉應修學分數： 36 學分

**備註：**
1. 每一課程科目僅採計一門課程學分。
